datetime, aapl , cash , commission , total ,returns, equity_curve 
7/31/2003," 435,020 "," 386,338 ", (63)," 821,359 ",1.9%, 0.82 
8/1/2003," 428,936 "," 386,338 ", (63)," 815,274 ",-0.7%, 0.82 
8/4/2003," 438,062 "," 386,338 ", (63)," 824,401 ",1.1%, 0.82 
8/5/2003," 419,810 "," 386,338 ", (63)," 806,148 ",-2.2%, 0.81 
8/6/2003," 404,599 "," 386,338 ", (63)," 790,938 ",-1.9%, 0.79 
8/7/2003," 410,684 "," 386,338 ", (63)," 797,022 ",0.8%, 0.80 
8/8/2003," 404,599 "," 386,338 ", (63)," 790,938 ",-0.8%, 0.79 
8/11/2003," 407,641 "," 386,338 ", (63)," 793,980 ",0.4%, 0.79 
8/12/2003," 407,641 "," 386,338 ", (63)," 793,980 ",0.0%, 0.79 
8/13/2003," 416,768 "," 386,338 ", (63)," 803,106 ",1.1%, 0.80 
8/14/2003," 413,726 "," 386,338 ", (63)," 800,064 ",-0.4%, 0.80 
8/15/2003," 407,641 "," 386,338 ", (63)," 793,980 ",-0.8%, 0.79 
8/18/2003," 419,810 "," 386,338 ", (63)," 806,148 ",1.5%, 0.81 
8/19/2003," 419,810 "," 386,338 ", (63)," 806,148 ",0.0%, 0.81 
8/20/2003," 435,020 "," 386,338 ", (63)," 821,359 ",1.9%, 0.82 
8/21/2003," 447,189 "," 386,338 ", (63)," 833,527 ",1.5%, 0.83 
8/22/2003," 431,978 "," 386,338 ", (63)," 818,317 ",-1.8%, 0.82 
8/25/2003," 431,978 "," 386,338 ", (63)," 818,317 ",0.0%, 0.82 
8/26/2003," 435,020 "," 386,338 ", (63)," 821,359 ",0.4%, 0.82 
8/27/2003," 444,147 "," 386,338 ", (63)," 830,485 ",1.1%, 0.83 
8/28/2003," 459,357 "," 386,338 ", (63)," 845,695 ",1.8%, 0.85 
8/29/2003," 468,483 "," 386,338 ", (63)," 854,822 ",1.1%, 0.85 
9/2/2003," 471,526 "," 386,338 ", (63)," 857,864 ",0.4%, 0.86 
9/3/2003," 474,568 "," 386,338 ", (63)," 860,906 ",0.4%, 0.86 
9/4/2003," 471,526 "," 386,338 ", (63)," 857,864 ",-0.4%, 0.86 
9/5/2003," 465,441 "," 386,338 ", (63)," 851,780 ",-0.7%, 0.85 
9/8/2003," 468,483 "," 386,338 ", (63)," 854,822 ",0.4%, 0.85 
9/9/2003," 462,399 "," 386,338 ", (63)," 848,738 ",-0.7%, 0.85 
9/10/2003," 459,357 "," 386,338 ", (63)," 845,695 ",-0.4%, 0.85 
9/11/2003," 465,441 "," 386,338 ", (63)," 851,780 ",0.7%, 0.85 
9/12/2003," 477,610 "," 386,338 ", (63)," 863,948 ",1.4%, 0.86 
9/15/2003," 459,357 "," 386,338 ", (63)," 845,695 ",-2.1%, 0.85 
9/16/2003," 462,399 "," 386,338 ", (63)," 848,738 ",0.4%, 0.85 
9/17/2003," 456,315 "," 386,338 ", (63)," 842,653 ",-0.7%, 0.84 
9/18/2003," 471,526 "," 386,338 ", (63)," 857,864 ",1.8%, 0.86 
9/19/2003," 465,441 "," 386,338 ", (63)," 851,780 ",-0.7%, 0.85 
9/22/2003," 456,315 "," 386,338 ", (63)," 842,653 ",-1.1%, 0.84 
9/23/2003," 462,399 "," 386,338 ", (63)," 848,738 ",0.7%, 0.85 
9/24/2003," 441,105 "," 386,338 ", (63)," 827,443 ",-2.5%, 0.83 
9/25/2003," 422,852 "," 386,338 ", (63)," 809,190 ",-2.2%, 0.81 
9/26/2003," 428,936 "," 386,338 ", (63)," 815,274 ",0.8%, 0.82 
9/29/2003," 441,105 "," 386,338 ", (63)," 827,443 ",1.5%, 0.83 
9/30/2003," 428,936 "," 386,338 ", (63)," 815,274 ",-1.5%, 0.82 
10/1/2003," 428,936 "," 386,338 ", (63)," 815,274 ",0.0%, 0.82 
10/2/2003," 425,894 "," 386,338 ", (63)," 812,232 ",-0.4%, 0.81 
10/3/2003," 447,189 "," 386,338 ", (63)," 833,527 ",2.6%, 0.83 
10/6/2003," 459,357 "," 386,338 ", (63)," 845,695 ",1.5%, 0.85 
10/7/2003," 480,652 "," 386,338 ", (63)," 866,990 ",2.5%, 0.87 
10/8/2003," 477,610 "," 386,338 ", (63)," 863,948 ",-0.4%, 0.86 
10/9/2003," 483,694 "," 386,338 ", (63)," 870,032 ",0.7%, 0.87 
10/10/2003," 489,778 "," 386,338 ", (63)," 876,116 ",0.7%, 0.88 
10/13/2003," 501,947 "," 386,338 ", (63)," 888,285 ",1.4%, 0.89 
10/14/2003," 508,031 "," 386,338 ", (63)," 894,369 ",0.7%, 0.89 
10/15/2003," 514,115 "," 386,338 ", (63)," 900,453 ",0.7%, 0.90 
10/16/2003," 480,652 "," 386,338 ", (63)," 866,990 ",-3.7%, 0.87 
10/17/2003," 471,526 "," 386,338 ", (63)," 857,864 ",-1.1%, 0.86 
10/20/2003," 480,652 "," 386,338 ", (63)," 866,990 ",1.1%, 0.87 
10/21/2003," 477,610 "," 386,338 ", (63)," 863,948 ",-0.4%, 0.86 
10/22/2003," 471,526 "," 386,338 ", (63)," 857,864 ",-0.7%, 0.86 
10/23/2003," 474,568 "," 386,338 ", (63)," 860,906 ",0.4%, 0.86 
10/24/2003," 468,483 "," 386,338 ", (63)," 854,822 ",-0.7%, 0.85 
10/27/2003," 468,483 "," 386,338 ", (63)," 854,822 ",0.0%, 0.85 
10/28/2003," 489,778 "," 386,338 ", (63)," 876,116 ",2.5%, 0.88 
10/29/2003," 489,778 "," 386,338 ", (63)," 876,116 ",0.0%, 0.88 
10/30/2003," 477,610 "," 386,338 ", (63)," 863,948 ",-1.4%, 0.86 
10/31/2003," 474,568 "," 386,338 ", (63)," 860,906 ",-0.4%, 0.86 
11/3/2003," 477,610 "," 386,338 ", (63)," 863,948 ",0.4%, 0.86 
11/4/2003," 474,568 "," 386,338 ", (63)," 860,906 ",-0.4%, 0.86 
11/5/2003," 474,568 "," 386,338 ", (63)," 860,906 ",0.0%, 0.86 
11/6/2003," 477,610 "," 386,338 ", (63)," 863,948 ",0.4%, 0.86 
11/7/2003," 465,441 "," 386,338 ", (63)," 851,780 ",-1.4%, 0.85 
11/10/2003," 453,273 "," 386,338 ", (63)," 839,611 ",-1.4%, 0.84 
11/11/2003," 444,147 "," 386,338 ", (63)," 830,485 ",-1.1%, 0.83 
11/12/2003," 462,399 "," 386,338 ", (63)," 848,738 ",2.2%, 0.85 
11/13/2003," 462,399 "," 386,338 ", (63)," 848,738 ",0.0%, 0.85 
11/14/2003," 444,147 "," 386,338 ", (63)," 830,485 ",-2.2%, 0.83 
11/17/2003," 438,062 "," 386,338 ", (63)," 824,401 ",-0.7%, 0.82 
11/18/2003," 422,852 "," 386,338 ", (63)," 809,190 ",-1.8%, 0.81 
11/19/2003," 422,852 "," 386,338 ", (63)," 809,190 ",0.0%, 0.81 
11/20/2003," 419,810 "," 386,338 ", (63)," 806,148 ",-0.4%, 0.81 
11/21/2003," 419,810 "," 386,338 ", (63)," 806,148 ",0.0%, 0.81 
11/24/2003," 438,062 "," 386,338 ", (63)," 824,401 ",2.3%, 0.82 
11/25/2003," 425,894 "," 386,338 ", (63)," 812,232 ",-1.5%, 0.81 
11/26/2003," 428,936 "," 386,338 ", (63)," 815,274 ",0.4%, 0.82 
11/28/2003," 431,978 "," 386,338 ", (63)," 818,317 ",0.4%, 0.82 
12/1/2003," 447,189 "," 386,338 ", (63)," 833,527 ",1.9%, 0.83 
12/2/2003," 444,147 "," 386,338 ", (63)," 830,485 ",-0.4%, 0.83 
12/3/2003," 435,020 "," 386,338 ", (63)," 821,359 ",-1.1%, 0.82 
12/4/2003," 438,062 "," 386,338 ", (63)," 824,401 ",0.4%, 0.82 
12/5/2003," 431,978 "," 386,338 ", (63)," 818,317 ",-0.7%, 0.82 
12/8/2003," 435,020 "," 386,338 ", (63)," 821,359 ",0.4%, 0.82 
12/9/2003," 422,852 "," 386,338 ", (63)," 809,190 ",-1.5%, 0.81 
12/10/2003," 419,810 "," 386,338 ", (63)," 806,148 ",-0.4%, 0.81 
12/11/2003," 438,062 "," 386,338 ", (63)," 824,401 ",2.3%, 0.82 
12/12/2003," 431,978 "," 386,338 ", (63)," 818,317 ",-0.7%, 0.82 
12/15/2003," 416,768 "," 386,338 ", (63)," 803,106 ",-1.9%, 0.80 
12/16/2003," 416,768 "," 386,338 ", (63)," 803,106 ",0.0%, 0.80 
12/17/2003," 410,684 "," 386,338 ", (63)," 797,022 ",-0.8%, 0.80 
12/18/2003," 413,726 "," 386,338 ", (63)," 800,064 ",0.4%, 0.80 
12/19/2003," 407,641 "," 386,338 ", (63)," 793,980 ",-0.8%, 0.79 
12/22/2003," 410,684 "," 386,338 ", (63)," 797,022 ",0.4%, 0.80 
12/23/2003," 410,684 "," 386,338 ", (63)," 797,022 ",0.0%, 0.80 
12/24/2003," 422,852 "," 386,338 ", (63)," 809,190 ",1.5%, 0.81 
12/26/2003, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
12/29/2003, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
12/30/2003, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
12/31/2003, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/2/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/5/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/6/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/7/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/8/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/9/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/12/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/13/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/14/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/15/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/16/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/20/2004, -   ," 809,181 ", (72)," 809,181 ",0.0%, 0.81 
1/21/2004," 404,590 "," 404,582 ", (81)," 809,172 ",0.0%, 0.81 
1/22/2004," 396,709 "," 404,582 ", (81)," 801,291 ",-1.0%, 0.80 
1/23/2004," 401,963 "," 404,582 ", (81)," 806,545 ",0.7%, 0.81 
1/26/2004," 409,845 "," 404,582 ", (81)," 814,427 ",1.0%, 0.81 
1/27/2004," 412,472 "," 404,582 ", (81)," 817,054 ",0.3%, 0.82 
1/28/2004," 401,963 "," 404,582 ", (81)," 806,545 ",-1.3%, 0.81 
1/29/2004," 404,590 "," 404,582 ", (81)," 809,172 ",0.3%, 0.81 
1/30/2004," 401,963 "," 404,582 ", (81)," 806,545 ",-0.3%, 0.81 
2/2/2004," 399,336 "," 404,582 ", (81)," 803,918 ",-0.3%, 0.80 
2/3/2004," 396,709 "," 404,582 ", (81)," 801,291 ",-0.3%, 0.80 
2/4/2004," 388,827 "," 404,582 ", (81)," 793,409 ",-1.0%, 0.79 
2/5/2004," 399,336 "," 404,582 ", (81)," 803,918 ",1.3%, 0.80 
2/6/2004," 404,590 "," 404,582 ", (81)," 809,172 ",0.7%, 0.81 
2/9/2004," 404,590 "," 404,582 ", (81)," 809,172 ",0.0%, 0.81 
2/10/2004," 409,845 "," 404,582 ", (81)," 814,427 ",0.6%, 0.81 
2/11/2004," 425,608 "," 404,582 ", (81)," 830,190 ",1.9%, 0.83 
2/12/2004," 422,981 "," 404,582 ", (81)," 827,563 ",-0.3%, 0.83 
2/13/2004," 409,845 "," 404,582 ", (81)," 814,427 ",-1.6%, 0.81 
2/17/2004," 412,472 "," 404,582 ", (81)," 817,054 ",0.3%, 0.82 
2/18/2004," 415,099 "," 404,582 ", (81)," 819,681 ",0.3%, 0.82 
2/19/2004," 401,963 "," 404,582 ", (81)," 806,545 ",-1.6%, 0.81 
2/20/2004," 399,336 "," 404,582 ", (81)," 803,918 ",-0.3%, 0.80 
2/23/2004," 396,709 "," 404,582 ", (81)," 801,291 ",-0.3%, 0.80 
2/24/2004," 399,336 "," 404,582 ", (81)," 803,918 ",0.3%, 0.80 
2/25/2004," 407,218 "," 404,582 ", (81)," 811,800 ",1.0%, 0.81 
2/26/2004," 412,472 "," 404,582 ", (81)," 817,054 ",0.6%, 0.82 
2/27/2004," 425,608 "," 404,582 ", (81)," 830,190 ",1.6%, 0.83 
3/1/2004," 428,235 "," 404,582 ", (81)," 832,817 ",0.3%, 0.83 
3/2/2004," 425,608 "," 404,582 ", (81)," 830,190 ",-0.3%, 0.83 
3/3/2004," 425,608 "," 404,582 ", (81)," 830,190 ",0.0%, 0.83 
3/4/2004," 449,253 "," 404,582 ", (81)," 853,835 ",2.8%, 0.85 
3/5/2004," 478,152 "," 404,582 ", (81)," 882,734 ",3.4%, 0.88 
3/8/2004," 465,016 "," 404,582 ", (81)," 869,598 ",-1.5%, 0.87 
3/9/2004," 483,407 "," 404,582 ", (81)," 887,989 ",2.1%, 0.89 
3/10/2004," 493,915 "," 404,582 ", (81)," 898,498 ",1.2%, 0.90 
3/11/2004," 483,407 "," 404,582 ", (81)," 887,989 ",-1.2%, 0.89 
3/12/2004," 491,288 "," 404,582 ", (81)," 895,870 ",0.9%, 0.90 
3/15/2004," 472,898 "," 404,582 ", (81)," 877,480 ",-2.1%, 0.88 
3/16/2004," 459,762 "," 404,582 ", (81)," 864,344 ",-1.5%, 0.86 
3/17/2004," 467,643 "," 404,582 ", (81)," 872,225 ",0.9%, 0.87 
3/18/2004," 457,135 "," 404,582 ", (81)," 861,717 ",-1.2%, 0.86 
3/19/2004," 462,389 "," 404,582 ", (81)," 866,971 ",0.6%, 0.87 
3/22/2004," 462,389 "," 404,582 ", (81)," 866,971 ",0.0%, 0.87 
3/23/2004," 451,880 "," 404,582 ", (81)," 856,462 ",-1.2%, 0.86 
3/24/2004," 454,507 "," 404,582 ", (81)," 859,089 ",0.3%, 0.86 
3/25/2004," 480,779 "," 404,582 ", (81)," 885,361 ",3.1%, 0.89 
3/26/2004," 483,407 "," 404,582 ", (81)," 887,989 ",0.3%, 0.89 
3/29/2004," 499,170 "," 404,582 ", (81)," 903,752 ",1.8%, 0.90 
3/30/2004," 499,170 "," 404,582 ", (81)," 903,752 ",0.0%, 0.90 
3/31/2004," 483,407 "," 404,582 ", (81)," 887,989 ",-1.7%, 0.89 
4/1/2004," 483,407 "," 404,582 ", (81)," 887,989 ",0.0%, 0.89 
4/2/2004," 491,288 "," 404,582 ", (81)," 895,870 ",0.9%, 0.90 
4/5/2004," 504,424 "," 404,582 ", (81)," 909,006 ",1.5%, 0.91 
4/6/2004," 496,543 "," 404,582 ", (81)," 901,125 ",-0.9%, 0.90 
4/7/2004," 488,661 "," 404,582 ", (81)," 893,243 ",-0.9%, 0.89 
4/8/2004," 491,288 "," 404,582 ", (81)," 895,870 ",0.3%, 0.90 
4/12/2004," 499,170 "," 404,582 ", (81)," 903,752 ",0.9%, 0.90 
4/13/2004," 480,779 "," 404,582 ", (81)," 885,361 ",-2.0%, 0.89 
4/14/2004," 475,525 "," 404,582 ", (81)," 880,107 ",-0.6%, 0.88 
4/15/2004," 522,815 "," 404,582 ", (81)," 927,397 ",5.4%, 0.93 
4/16/2004," 520,188 "," 404,582 ", (81)," 924,770 ",-0.3%, 0.92 
4/19/2004," 507,052 "," 404,582 ", (81)," 911,634 ",-1.4%, 0.91 
4/20/2004," 493,915 "," 404,582 ", (81)," 898,498 ",-1.4%, 0.90 
4/21/2004," 493,915 "," 404,582 ", (81)," 898,498 ",0.0%, 0.90 
4/22/2004," 496,543 "," 404,582 ", (81)," 901,125 ",0.3%, 0.90 
4/23/2004," 493,915 "," 404,582 ", (81)," 898,498 ",-0.3%, 0.90 
4/26/2004," 483,407 "," 404,582 ", (81)," 887,989 ",-1.2%, 0.89 
4/27/2004," 480,779 "," 404,582 ", (81)," 885,361 ",-0.3%, 0.89 
4/28/2004," 472,898 "," 404,582 ", (81)," 877,480 ",-0.9%, 0.88 
4/29/2004," 478,152 "," 404,582 ", (81)," 882,734 ",0.6%, 0.88 
4/30/2004," 459,762 "," 404,582 ", (81)," 864,344 ",-2.1%, 0.86 
5/3/2004," 465,016 "," 404,582 ", (81)," 869,598 ",0.6%, 0.87 
5/4/2004," 467,643 "," 404,582 ", (81)," 872,225 ",0.3%, 0.87 
5/5/2004," 475,525 "," 404,582 ", (81)," 880,107 ",0.9%, 0.88 
5/6/2004," 475,525 "," 404,582 ", (81)," 880,107 ",0.0%, 0.88 
5/7/2004," 475,525 "," 404,582 ", (81)," 880,107 ",0.0%, 0.88 
5/10/2004," 470,271 "," 404,582 ", (81)," 874,853 ",-0.6%, 0.87 
5/11/2004," 483,407 "," 404,582 ", (81)," 887,989 ",1.5%, 0.89 
5/12/2004," 486,034 "," 404,582 ", (81)," 890,616 ",0.3%, 0.89 
5/13/2004," 486,034 "," 404,582 ", (81)," 890,616 ",0.0%, 0.89 
5/14/2004," 483,407 "," 404,582 ", (81)," 887,989 ",-0.3%, 0.89 
5/17/2004," 475,525 "," 404,582 ", (81)," 880,107 ",-0.9%, 0.88 
5/18/2004," 483,407 "," 404,582 ", (81)," 887,989 ",0.9%, 0.89 
5/19/2004," 472,898 "," 404,582 ", (81)," 877,480 ",-1.2%, 0.88 
5/20/2004," 475,525 "," 404,582 ", (81)," 880,107 ",0.3%, 0.88 
5/21/2004," 483,407 "," 404,582 ", (81)," 887,989 ",0.9%, 0.89 
5/24/2004," 488,661 "," 404,582 ", (81)," 893,243 ",0.6%, 0.89 
5/25/2004," 507,052 "," 404,582 ", (81)," 911,634 ",2.1%, 0.91 
5/26/2004," 509,679 "," 404,582 ", (81)," 914,261 ",0.3%, 0.91 
5/27/2004," 501,797 "," 404,582 ", (81)," 906,379 ",-0.9%, 0.91 
5/28/2004," 501,797 "," 404,582 ", (81)," 906,379 ",0.0%, 0.91 
6/1/2004," 501,797 "," 404,582 ", (81)," 906,379 ",0.0%, 0.91 
6/2/2004," 514,933 "," 404,582 ", (81)," 919,515 ",1.4%, 0.92 
6/3/2004," 507,052 "," 404,582 ", (81)," 911,634 ",-0.9%, 0.91 
6/4/2004," 514,933 "," 404,582 ", (81)," 919,515 ",0.9%, 0.92 
6/7/2004," 533,324 "," 404,582 ", (81)," 937,906 ",2.0%, 0.94 
6/8/2004," 541,205 "," 404,582 ", (81)," 945,787 ",0.8%, 0.95 
6/9/2004," 538,578 "," 404,582 ", (81)," 943,160 ",-0.3%, 0.94 
6/10/2004," 549,087 "," 404,582 ", (81)," 953,669 ",1.1%, 0.95 
6/14/2004," 538,578 "," 404,582 ", (81)," 943,160 ",-1.1%, 0.94 
6/15/2004," 546,460 "," 404,582 ", (81)," 951,042 ",0.8%, 0.95 
6/16/2004," 583,241 "," 404,582 ", (81)," 987,823 ",3.9%, 0.99 
6/17/2004," 585,868 "," 404,582 ", (81)," 990,450 ",0.3%, 0.99 
6/18/2004," 588,495 "," 404,582 ", (81)," 993,077 ",0.3%, 0.99 
6/21/2004," 577,986 "," 404,582 ", (81)," 982,568 ",-1.1%, 0.98 
6/22/2004," 588,495 "," 404,582 ", (81)," 993,077 ",1.1%, 0.99 
6/23/2004," 601,631 "," 404,582 ", (81)," 1,006,213 ",1.3%, 1.01 
6/24/2004," 591,122 "," 404,582 ", (81)," 995,704 ",-1.0%, 1.00 
6/25/2004," 601,631 "," 404,582 ", (81)," 1,006,213 ",1.1%, 1.01 
6/28/2004," 580,613 "," 404,582 ", (81)," 985,195 ",-2.1%, 0.99 
6/29/2004," 580,613 "," 404,582 ", (81)," 985,195 ",0.0%, 0.99 
6/30/2004," 580,613 "," 404,582 ", (81)," 985,195 ",0.0%, 0.99 
7/1/2004," 575,359 "," 404,582 ", (81)," 979,941 ",-0.5%, 0.98 
7/2/2004," 554,341 "," 404,582 ", (81)," 958,923 ",-2.1%, 0.96 
7/6/2004," 551,714 "," 404,582 ", (81)," 956,296 ",-0.3%, 0.96 
7/7/2004," 541,205 "," 404,582 ", (81)," 945,787 ",-1.1%, 0.95 
7/8/2004," 538,578 "," 404,582 ", (81)," 943,160 ",-0.3%, 0.94 
7/9/2004," 535,951 "," 404,582 ", (81)," 940,533 ",-0.3%, 0.94 
7/12/2004," 520,188 "," 404,582 ", (81)," 924,770 ",-1.7%, 0.92 
7/13/2004," 522,815 "," 404,582 ", (81)," 927,397 ",0.3%, 0.93 
7/14/2004," 528,069 "," 404,582 ", (81)," 932,651 ",0.6%, 0.93 
7/15/2004," 588,495 "," 404,582 ", (81)," 993,077 ",6.5%, 0.99 
7/16/2004," 575,359 "," 404,582 ", (81)," 979,941 ",-1.3%, 0.98 
7/19/2004," 570,105 "," 404,582 ", (81)," 974,687 ",-0.5%, 0.97 
7/20/2004," 575,359 "," 404,582 ", (81)," 979,941 ",0.5%, 0.98 
7/21/2004," 564,850 "," 404,582 ", (81)," 969,432 ",-1.1%, 0.97 
7/22/2004," 564,850 "," 404,582 ", (81)," 969,432 ",0.0%, 0.97 
7/23/2004," 549,087 "," 404,582 ", (81)," 953,669 ",-1.6%, 0.95 
7/26/2004," 556,969 "," 404,582 ", (81)," 961,551 ",0.8%, 0.96 
7/27/2004," 577,986 "," 404,582 ", (81)," 982,568 ",2.2%, 0.98 
7/28/2004," 575,359 "," 404,582 ", (81)," 979,941 ",-0.3%, 0.98 
7/29/2004," 583,241 "," 404,582 ", (81)," 987,823 ",0.8%, 0.99 
7/30/2004," 577,986 "," 404,582 ", (81)," 982,568 ",-0.5%, 0.98 
8/2/2004," 564,850 "," 404,582 ", (81)," 969,432 ",-1.3%, 0.97 
8/3/2004," 559,596 "," 404,582 ", (81)," 964,178 ",-0.5%, 0.96 
8/4/2004," 567,477 "," 404,582 ", (81)," 972,059 ",0.8%, 0.97 
8/5/2004," 559,596 "," 404,582 ", (81)," 964,178 ",-0.8%, 0.96 
8/6/2004," 530,696 "," 404,582 ", (81)," 935,278 ",-3.0%, 0.94 
8/9/2004," 541,205 "," 404,582 ", (81)," 945,787 ",1.1%, 0.95 
8/10/2004," 562,223 "," 404,582 ", (81)," 966,805 ",2.2%, 0.97 
8/11/2004," 554,341 "," 404,582 ", (81)," 958,923 ",-0.8%, 0.96 
8/12/2004," 541,205 "," 404,582 ", (81)," 945,787 ",-1.4%, 0.95 
8/13/2004," 551,714 "," 404,582 ", (81)," 956,296 ",1.1%, 0.96 
8/16/2004," 549,087 "," 404,582 ", (81)," 953,669 ",-0.3%, 0.95 
8/17/2004," 551,714 "," 404,582 ", (81)," 956,296 ",0.3%, 0.96 
8/18/2004," 567,477 "," 404,582 ", (81)," 972,059 ",1.6%, 0.97 
8/19/2004," 549,087 "," 404,582 ", (81)," 953,669 ",-1.9%, 0.95 
8/20/2004," 549,087 "," 404,582 ", (81)," 953,669 ",0.0%, 0.95 
8/23/2004," 554,341 "," 404,582 ", (81)," 958,923 ",0.6%, 0.96 
8/24/2004," 570,105 "," 404,582 ", (81)," 974,687 ",1.6%, 0.97 
8/25/2004," 591,122 "," 404,582 ", (81)," 995,704 ",2.2%, 1.00 
8/26/2004," 617,394 "," 404,582 ", (81)," 1,021,976 ",2.6%, 1.02 
8/27/2004," 612,140 "," 404,582 ", (81)," 1,016,722 ",-0.5%, 1.02 
8/30/2004," 609,513 "," 404,582 ", (81)," 1,014,095 ",-0.3%, 1.01 
8/31/2004," 614,767 "," 404,582 ", (81)," 1,019,349 ",0.5%, 1.02 
9/1/2004," 641,039 "," 404,582 ", (81)," 1,045,621 ",2.6%, 1.05 
9/2/2004," 635,785 "," 404,582 ", (81)," 1,040,367 ",-0.5%, 1.04 
9/3/2004," 627,903 "," 404,582 ", (81)," 1,032,485 ",-0.8%, 1.03 
9/7/2004," 638,412 "," 404,582 ", (81)," 1,042,994 ",1.0%, 1.04 
9/8/2004," 648,921 "," 404,582 ", (81)," 1,053,503 ",1.0%, 1.05 
9/9/2004," 638,412 "," 404,582 ", (81)," 1,042,994 ",-1.0%, 1.04 
9/10/2004," 641,039 "," 404,582 ", (81)," 1,045,621 ",0.3%, 1.05 
9/13/2004," 635,785 "," 404,582 ", (81)," 1,040,367 ",-0.5%, 1.04 
9/14/2004," 633,158 "," 404,582 ", (81)," 1,037,740 ",-0.3%, 1.04 
9/15/2004," 627,903 "," 404,582 ", (81)," 1,032,485 ",-0.5%, 1.03 
9/16/2004," 648,921 "," 404,582 ", (81)," 1,053,503 ",2.0%, 1.05 
9/17/2004," 662,057 "," 404,582 ", (81)," 1,066,639 ",1.2%, 1.07 
9/20/2004," 672,566 "," 404,582 ", (81)," 1,077,148 ",1.0%, 1.08 
9/21/2004," 677,820 "," 404,582 ", (81)," 1,082,402 ",0.5%, 1.08 
9/22/2004," 659,430 "," 404,582 ", (81)," 1,064,012 ",-1.7%, 1.06 
9/23/2004," 664,684 "," 404,582 ", (81)," 1,069,266 ",0.5%, 1.07 
9/24/2004," 664,684 "," 404,582 ", (81)," 1,069,266 ",0.0%, 1.07 
9/27/2004," 669,939 "," 404,582 ", (81)," 1,074,521 ",0.5%, 1.07 
9/28/2004," 677,820 "," 404,582 ", (81)," 1,082,402 ",0.7%, 1.08 
9/29/2004," 690,956 "," 404,582 ", (81)," 1,095,538 ",1.2%, 1.10 
9/30/2004," 690,956 "," 404,582 ", (81)," 1,095,538 ",0.0%, 1.10 
10/1/2004," 690,956 "," 404,582 ", (81)," 1,095,538 ",0.0%, 1.10 
10/4/2004," 693,583 "," 404,582 ", (81)," 1,098,165 ",0.2%, 1.10 
10/5/2004," 701,465 "," 404,582 ", (81)," 1,106,047 ",0.7%, 1.11 
10/6/2004," 725,110 "," 404,582 ", (81)," 1,129,692 ",2.1%, 1.13 
10/7/2004," 706,719 "," 404,582 ", (81)," 1,111,302 ",-1.6%, 1.11 
10/8/2004," 696,211 "," 404,582 ", (81)," 1,100,793 ",-0.9%, 1.10 
10/11/2004," 688,329 "," 404,582 ", (81)," 1,092,911 ",-0.7%, 1.09 
10/12/2004," 683,075 "," 404,582 ", (81)," 1,087,657 ",-0.5%, 1.09 
10/13/2004," 709,347 "," 404,582 ", (81)," 1,113,929 ",2.4%, 1.11 
10/14/2004," 803,926 "," 404,582 ", (81)," 1,208,508 ",8.5%, 1.21 
10/15/2004," 811,808 "," 404,582 ", (81)," 1,216,390 ",0.7%, 1.22 
10/18/2004," 851,216 "," 404,582 ", (81)," 1,255,798 ",3.2%, 1.26 
10/19/2004," 845,962 "," 404,582 ", (81)," 1,250,544 ",-0.4%, 1.25 
10/20/2004," 845,962 "," 404,582 ", (81)," 1,250,544 ",0.0%, 1.25 
10/21/2004," 856,470 "," 404,582 ", (81)," 1,261,052 ",0.8%, 1.26 
10/22/2004," 845,962 "," 404,582 ", (81)," 1,250,544 ",-0.8%, 1.25 
10/25/2004," 848,589 "," 404,582 ", (81)," 1,253,171 ",0.2%, 1.25 
10/26/2004," 856,470 "," 404,582 ", (81)," 1,261,052 ",0.6%, 1.26 
10/27/2004," 898,506 "," 404,582 ", (81)," 1,303,088 ",3.3%, 1.30 
10/28/2004," 932,660 "," 404,582 ", (81)," 1,337,242 ",2.6%, 1.34 
10/29/2004," 935,287 "," 404,582 ", (81)," 1,339,869 ",0.2%, 1.34 
11/1/2004," 935,287 "," 404,582 ", (81)," 1,339,869 ",0.0%, 1.34 
11/2/2004," 953,677 "," 404,582 ", (81)," 1,358,259 ",1.4%, 1.36 
11/3/2004," 987,831 "," 404,582 ", (81)," 1,392,413 ",2.5%, 1.39 
11/4/2004," 972,068 "," 404,582 ", (81)," 1,376,650 ",-1.1%, 1.38 
