datetime, aapl , cash , commission , total ,returns, equity_curve 
2/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/19/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/20/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/21/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/26/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/27/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/28/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/4/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/6/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/13/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/18/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/19/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/20/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/21/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/26/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/27/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
3/28/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/2/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/3/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/4/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
